event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
Georgia-5,Georgia,2017-09-11 02:27:00,2017-09-15 20:44:00,Severe Weather,13311,Georgia,White,2017-09-11 21:15:00,166.5,2017-09-18 19:45:00,338.0,11671.0,5602.405405405405
North Carolina-4,North Carolina,2018-09-13 20:56:00,2018-09-20 19:00:00,Severe Weather,37141,North Carolina,Pender,2018-09-15 04:00:00,194.0,2018-09-23 06:00:00,202.0,20660.0,10755.32087628866
North Carolina-4,North Carolina,2018-09-13 20:56:00,2018-09-20 19:00:00,Severe Weather,37049,North Carolina,Craven,2018-09-15 04:00:00,185.0,2018-09-22 21:00:00,328.0,16642.0,8415.41081081081
North Carolina-4,North Carolina,2018-09-13 20:56:00,2018-09-20 19:00:00,Severe Weather,37103,North Carolina,Jones,2018-09-15 04:00:00,184.5,2018-09-22 20:30:00,273.0,4309.0,2758.59891598916
Florida-3,Florida,2018-10-10 16:00:00,2018-10-19 06:00:00,Severe Weather,12039,Florida,Gadsden,2018-10-10 19:00:00,182.0,2018-10-18 09:00:00,8016.0,15112.0,12192.607142857143
Florida-3,Florida,2018-10-10 16:00:00,2018-10-19 06:00:00,Severe Weather,12077,Florida,Liberty,2018-10-10 19:00:00,182.0,2018-10-18 09:00:00,1918.0,3308.0,2626.043956043956
North Carolina-3,North Carolina,2018-09-13 20:30:00,2018-09-19 17:00:00,Severe Weather,37133,North Carolina,Onslow,2018-09-15 04:00:00,178.0,2018-09-22 14:00:00,202.0,71864.0,32697.28511235955
North Carolina-4,North Carolina,2018-09-13 20:56:00,2018-09-20 19:00:00,Severe Weather,37133,North Carolina,Onslow,2018-09-15 04:00:00,178.0,2018-09-22 14:00:00,202.0,71864.0,32697.28511235955
North Carolina-3,North Carolina,2018-09-13 20:30:00,2018-09-19 17:00:00,Severe Weather,37153,North Carolina,Richmond,2018-09-15 04:00:00,168.25,2018-09-22 04:15:00,266.0,18446.0,3793.332838038633
North Carolina-4,North Carolina,2018-09-13 20:56:00,2018-09-20 19:00:00,Severe Weather,37153,North Carolina,Richmond,2018-09-15 04:00:00,168.25,2018-09-22 04:15:00,266.0,18446.0,3793.332838038633
North Carolina-3,North Carolina,2018-09-13 20:30:00,2018-09-19 17:00:00,Severe Weather,37013,North Carolina,Beaufort,2018-09-15 04:00:00,162.75,2018-09-21 22:45:00,202.0,7573.0,2924.1013824884794
